fact_id,factory_id,factory_name,location,industry_type,factory_size,number_of_employees,manager_name,certification,main_products,year,total_units_produced,defective_units,operational_cost_idr,maintenance_cost_idr,total_hours_worked,overtime_hours,energy_consumed_kwh,safety_incidents,employee_performance,defect_rate,cost_per_unit_idr,energy_efficiency_kwh_per_unit,shift_type,employee_satisfaction,production_line,machine_downtime_hours,waste_generated_kg
1362,105,PT Unilever Indonesia,"Tangerang, Banten",Consumer Goods,Large,2500,Ibu M.,ISO 9001,Personal Care Products,2021,35702,2244,2124030372,295138417,39594,1738,905858,No Incident,0.55,0.0629,59493.32,25.3728,Night,4,Line B,0,27072
1074,102,Yamaha Music Indonesia,Jakarta,Musical Instruments,Medium,450,Joyo Pranoto,ISO 14001,Electric Guitars,2020,3958,285,1959304320,267897721,153339,0,848349,No Incident,0.9500000000000001,0.072,495023.83,214.3378,Mixed,2,Line D,323,29457
1375,108,PT Wings Surya,"Surabaya, East Java",Household Products,Medium,400,Wibowo H.,ISO 9001,Cleaning Products,2020,32575,280,3821556992,90040260,79671,0,2745270,Low,0.30000000000000004,0.0086,117315.64,84.2754,Night,5,Line D,329,15986
1156,102,Yamaha Music Indonesia,Jakarta,Musical Instruments,Medium,450,Bapak Joyo,ISO 14001,Electric Guitars,2021,34842,284,571786228,43474619,157310,11421,1164053,No Incident,0.25,0.0082,16410.83,33.4095,Night,7,Line D,344,33863
1105,103,PT Krakatau Steel,"Cilegon, Banten",Steel Manufacturing,Large,1200,Ibu D.,ISO 45001,Steel Sheets,2020,31175,2836,3778163107,385667887,235540,21746,253628,No Incident,0.8500000000000001,0.091,121192.08,8.1356,Mixed,7,Line C,174,9314
1395,103,PT Krakatau Steel,"Cilegon, Banten",Steel Manufacturing,Large,1200,Ibu D.,ISO 45001,Steel Sheets,2020,27806,325,3462387975,421607882,120016,10290,1864644,No Incident,0.1,0.0117,124519.46,67.0591,Day,3,Line D,415,8796
1378,102,Yamaha Music Indonesia,Jakarta,Musical Instruments,Medium,450,Joyo,ISO 14001,Electric Guitars,2024,29783,1094,4019590896,181490383,89883,74396,2180783,No Incident,0.75,0.0367,134962.59,73.2224,Day,9,Line D,307,27489
1125,101,PT Batik Solo,"Surakarta, Central Java",Textile,Medium,350,Sari,ISO 9001,Batik Clothes,2020,17060,506,4505599175,370711968,110441,347,1271791,Low,0.1,0.0297,264103.12,74.5481,Mixed,8,Line C,294,31208
1069,110,PT Kalbe Farma,Jakarta,Pharmaceuticals,Large,1500,Bapak B.,ISO 13485:2016,Medicines,2021,17612,1557,2973360447,272016430,223636,8735,850264,No Incident,0.8500000000000001,0.0884,168825.83,48.2775,Night,7,Line B,490,38954
1451,106,PT Semen Indonesia,"Gresik, East Java",Cement Manufacturing,Large,1800,Agus Santoso,ISO 14001:2015,Cement,2021,24792,1038,4301176073,154420400,74048,1897,1799271,No Incident,0.4,0.0419,173490.48,72.5747,Mixed,3,Line B,384,26852
