"factory_id","factory_name","industry_type","number_of_employees","production_technology_level","quality_certification","supply_chain_integration","lean_manufacturing_practice","maintenance_strategy","six_sigma_maturity_level","automation_level","employee_training_program","year","total_units_produced","defective_units","total_hours_worked","overtime_hours","energy_consumed_kwh","safety_incidents","employee_performance","defect_rate","energy_efficiency_kwh_per_unit","employee_satisfaction","machine_downtime_hours","waste_generated_kg"
108,PT Altira Dynamics,Household Products,438,Advanced,ISO 9001,Medium,Implemented,Reactive,Institutionalized,Low,Moderate,2021,47562,1592,82392,12990,23224,1,0.85,0.0335,4883,8,496,46269
105,PT Mandala Vertex Corp,Consumer Goods,3256,Basic,ISO 14001,Medium,Implemented,Predictive,Managed,High,Moderate,2023,28184,35,109312,18214,47599,7,0.9,0.0012,16889,3,492,28773
108,PT Altira Dynamics,Household Products,447,Advanced,ISO 9001,Medium,Implemented,Reactive,Institutionalized,Low,Moderate,2022,48209,2997,70107,4569,220234,2,0.2,0.0622,45683,7,290,16655
108,PT Altira Dynamics,Household Products,451,Advanced,ISO 9001,Medium,Implemented,Reactive,Institutionalized,Low,Moderate,2023,3555,57,286699,21557,430151,15,0.4,0.016,1209989,4,229,8563
108,PT Altira Dynamics,Household Products,466,Advanced,ISO 9001,Medium,Implemented,Reactive,Institutionalized,Low,Moderate,2024,38471,1114,198516,21336,513111,6,0.8,0.029,133376,8,335,8544
110,PT Pilaris Integrasi,Pharmaceuticals,1622,Advanced,ISO 14001,Medium,Not Implemented,Predictive,Defined,High,Extensive,2021,22543,1021,282336,26309,642687,3,0.65,0.0453,285094,5,164,1780
108,PT Altira Dynamics,Household Products,400,Advanced,ISO 9001,Medium,Implemented,Reactive,Institutionalized,Low,Moderate,2020,49934,2968,155231,15962,828389,5,0.8,0.0594,165897,7,273,30746
105,PT Mandala Vertex Corp,Consumer Goods,3376,Basic,ISO 14001,Medium,Implemented,Predictive,Managed,High,Moderate,2024,49737,554,200709,8701,1047311,14,0.95,0.0111,21057,6,97,4845
110,PT Pilaris Integrasi,Pharmaceuticals,1934,Advanced,ISO 14001,Medium,Not Implemented,Predictive,Defined,High,Extensive,2024,48089,1631,94449,12683,1398100,0,0.45,0.0339,290732,7,469,14859
104,PT Primex Global,Food Processing,3000,Intermediate,ISO 9001,Low,Not Implemented,Predictive,Defined,Low,Extensive,2020,4337,205,296095,20251,1447382,17,1.0,0.0473,3337288,5,60,8981
104,PT Primex Global,Food Processing,3140,Intermediate,ISO 9001,Low,Not Implemented,Predictive,Defined,Low,Extensive,2021,41107,2046,291529,16647,1469007,13,0.85,0.0498,357362,8,250,9393
110,PT Pilaris Integrasi,Pharmaceuticals,1500,Advanced,ISO 14001,Medium,Not Implemented,Predictive,Defined,High,Extensive,2020,18709,663,116143,1296,1661264,1,0.7,0.0354,887949,2,93,21546
110,PT Pilaris Integrasi,Pharmaceuticals,1861,Advanced,ISO 14001,Medium,Not Implemented,Predictive,Defined,High,Extensive,2023,30437,1161,233159,2091,1834890,16,0.1,0.0381,602849,8,493,19565
